X,NACA 2418-Re=   3e+06-Alpha=-8.00-NCrit=  9.0-XTrTop=0.822-XtrBot=0.070, , X,sqrt(Ctau_top), , X,sqrt(CtauEq_top), , X,sqrt(Ctau_bot), , X,sqrt(CtauEq_bot), , 
, , ,0.8248944,0.0369554, ,0.01884581,0.0716975, ,0.07255816,0.04737036, ,0.01214942,0.0716975, , 
, , ,0.8512328,0.05039618, ,0.02693808,0.07286802, ,0.08709309,0.05041054, ,0.006883198,0.07116513, , 
, , ,0.876583,0.04735635, ,0.03639132,0.07179002, ,0.1028043,0.04427404, ,0.003080868,0.0717269, , 
, , ,0.9007495,0.04384589, ,0.04717001,0.07332055, ,0.1196525,0.04107132, ,0.000775592,0.07098056, , 
, , ,0.9234998,0.04182249, ,0.05923792,0.07269918, ,0.1375977,0.03993217, ,0,0.07202005, , 
, , ,0.9445469,0.04087181, ,0.07255816,0.07352983, ,0.1565988,0.0395645, ,0.000775592,0.0718364, , 
, , ,0.9635184,0.04065089, ,0.08709309,0.07345736, ,0.1766138,0.03944264, ,0.003080868,0.07376384, , 
, , ,0.9798895,0.04101108, ,0.1028043,0.07384267, ,0.1975998,0.03938812, ,0.006883198,0.07527959, , 
, , ,0.9928006,0.04204259, ,0.1196525,0.0740189, ,0.2195125,0.039347, ,0.01214942,0.07766148, , 
, , ,1,0.04263915, ,0.1375977,0.07427231, ,0.2423068,0.03930656, ,0.01884581,0.08010379, , 
, , ,1.0001,0.04806821, ,0.1565988,0.0745096, ,0.2659361,0.03926582, ,0.02693808,0.08294361, , 
, , ,1.007454,0.04901399, ,0.1766138,0.07476186, ,0.2903524,0.03922553, ,0.03639132,0.08626453, , 
, , ,1.017363,0.04879979, ,0.1975998,0.07502736, ,0.3155065,0.03918526, ,0.04717001,0.09031263, , 
, , ,1.030709,0.0482225, ,0.2195125,0.07531093, ,0.3413476,0.03914167, ,0.05923792,0.09441264, , 
, , ,1.048684,0.04732205, ,0.2423068,0.07561682, ,0.3678229,0.03908978, ,0.07255816,0.0846238, , 
, , ,1.072895,0.04610048, ,0.2659361,0.07595018, ,0.3948782,0.03899784, ,0.08709309,0.05201301, , 
, , ,1.105502,0.04457591, ,0.2903524,0.07631792, ,0.4224571,0.03887935, ,0.1028043,0.03943763, , 
, , ,1.149418,0.04274239, ,0.3155065,0.07672991, ,0.4505011,0.03884729, ,0.1196525,0.03787198, , 
, , ,1.20856,0.04058376, ,0.3413476,0.07720648, ,0.4789491,0.0388566, ,0.1375977,0.0384574, , 
, , ,1.288203,0.03810129, ,0.3678229,0.07776746, ,0.5077378,0.03890178, ,0.1565988,0.03895627, , 
, , ,1.395448,0.03521921, ,0.3948782,0.07863904, ,0.5368005,0.03897634, ,0.1766138,0.03921178, , 
, , ,1.539851,0.03183427, ,0.4224571,0.07962252, ,0.5660677,0.03907666, ,0.1975998,0.03930825, , 
, , ,1.734274,0.02802553, ,0.4505011,0.0797882, ,0.5954661,0.03920079, ,0.2195125,0.03932294, , 
, , , , , ,0.4789491,0.08004771, ,0.6249182,0.03934837, ,0.2423068,0.03930197, , 
, , , , , ,0.5077378,0.08039062, ,0.6543419,0.03952062, ,0.2659361,0.03926855, , 
, , , , , ,0.5368005,0.08082207, ,0.68365,0.03972033, ,0.2903524,0.03923187, , 
, , , , , ,0.5660677,0.08133489, ,0.7127487,0.03995202, ,0.3155065,0.03919264, , 
, , , , , ,0.5954661,0.08193323, ,0.7415373,0.04022214, ,0.3413476,0.03914385, , 
, , , , , ,0.6249182,0.08263126, ,0.7699063,0.04053932, ,0.3678229,0.03907606, , 
, , , , , ,0.6543419,0.08345378, ,0.7977362,0.0409147, ,0.3948782,0.0389162, , 
, , , , , ,0.68365,0.08443611, ,0.8248944,0.04136215, ,0.4224571,0.03871787, , 
, , , , , ,0.7127487,0.0856187, ,0.8512328,0.04189832, ,0.4505011,0.03876006, , 
, , , , , ,0.7415373,0.08701945, ,0.876583,0.04254192, ,0.4789491,0.03887168, , 
, , , , , ,0.7699063,0.08853144, ,0.9007495,0.04331053, ,0.5077378,0.03903308, , 
, , , , , ,0.7977362,0.08958891, ,0.9234998,0.04421428, ,0.5368005,0.03922792, , 
, , , , , ,0.8248944,0.08467608, ,0.9445469,0.04524506, ,0.5660677,0.03945047, , 
, , , , , ,0.8512328,0.0587069, ,0.9635184,0.04636268, ,0.5954661,0.03969974, , 
, , , , , ,0.876583,0.04476943, ,0.9798895,0.04747943, ,0.6249182,0.03997846, , 
, , , , , ,0.9007495,0.03924141, ,0.9928006,0.04846331, ,0.6543419,0.0402926, , 
, , , , , ,0.9234998,0.03773356, ,1,0.04898432, ,0.68365,0.04065141, , 
, , , , , ,0.9445469,0.03781169, ,1.0001,0.04806821, ,0.7127487,0.04106782, , 
, , , , , ,0.9635184,0.03872911, ,1.007454,0.04901399, ,0.7415373,0.04155919, , 
, , , , , ,0.9798895,0.0403842, ,1.017363,0.04879979, ,0.7699063,0.04214841, , 
, , , , , ,0.9928006,0.04333098, ,1.030709,0.0482225, ,0.7977362,0.04286535, , 
, , , , , ,1,0.04481546, ,1.048684,0.04732205, ,0.8248944,0.04374856, , 
, , , , , ,1.0001,0.06110196, ,1.072895,0.04610048, ,0.8512328,0.0448472, , 
, , , , , ,1.007454,0.06546805, ,1.105502,0.04457591, ,0.876583,0.04622192, , 
, , , , , ,1.017363,0.06137529, ,1.149418,0.04274239, ,0.9007495,0.04794042, , 
, , , , , ,1.030709,0.05612456, ,1.20856,0.04058376, ,0.9234998,0.05006503, , 
, , , , , ,1.048684,0.05046248, ,1.288203,0.03810129, ,0.9445469,0.05262486, , 
, , , , , ,1.072895,0.04466417, ,1.395448,0.03521921, ,0.9635184,0.0555706, , 
, , , , , ,1.105502,0.03892003, ,1.539851,0.03183427, ,0.9798895,0.05870055, , 
, , , , , ,1.149418,0.03328258, ,1.734274,0.02802553, ,0.9928006,0.06164115, , 
, , , , , ,1.20856,0.02776265, , , , ,1,0.06313463, , 
, , , , , ,1.288203,0.02244084, , , , ,1.0001,0.06110196, , 
, , , , , ,1.395448,0.01750259, , , , ,1.007454,0.06546805, , 
, , , , , ,1.539851,0.01319501, , , , ,1.017363,0.06137529, , 
, , , , , ,1.734274,0.009711795, , , , ,1.030709,0.05612456, , 
, , , , , , , , , , , ,1.048684,0.05046248, , 
, , , , , , , , , , , ,1.072895,0.04466417, , 
, , , , , , , , , , , ,1.105502,0.03892003, , 
, , , , , , , , , , , ,1.149418,0.03328258, , 
, , , , , , , , , , , ,1.20856,0.02776265, , 
, , , , , , , , , , , ,1.288203,0.02244084, , 
, , , , , , , , , , , ,1.395448,0.01750259, , 
, , , , , , , , , , , ,1.539851,0.01319501, , 
, , , , , , , , , , , ,1.734274,0.009711795, , 
